Went to bed;Woke up;Sleep Quality;Time in bed (seconds);Time asleep (seconds);Asleep after (seconds);Regularity;Did snore;Snore time (seconds);Not my snoring (seconds);Coughing (per hour);Steps;Weather temperature (°C);Weather type;Air Pressure (Pa);City;Breathing disruptions (per hour);Ambient noise (dB);Ambient light (lux);Alertness score;Alertness reaction time (seconds);Alertness accuracy;Movements per hour;Wake up window start;Wake up window stop;Notes
2025-01-25 22:51:43;2025-01-26 07:08:14;85%;29790;22938;595;—;false;0;0;1.3293052;0;;;;;0.0;32.14848;0.0625;;;;46.916313;;;
2025-01-26 23:00:04;2025-01-27 01:38:08;27%;9484;6322;189;53%;false;0;0;2.27752;0;;;;;0.0;32.735294;0.0;;;;45.50827;;;
2025-01-27 02:49:25;2025-01-27 08:36:38;25%;20832;16735;416;53%;false;0;0;1.0368663;0;;;;;0.0;32.228764;0.0625;;;;74.89471;;;
2025-01-28 00:48:09;2025-01-28 08:33:46;82%;27936;18810;558;40%;false;0;0;1.2886598;0;;;;;0.0;32.16611;0.0;;;;52.669544;;;
2025-01-29 23:17:38;2025-01-30 07:30:11;91%;29553;22558;591;53%;false;0;0;0.9745204;0;;;;;0.0;32.96676;0.0;;;;47.623844;;;
2025-04-09 23:36:06;2025-04-10 08:00:22;57%;30256;22692;605;—;false;0;0;0.71390796;0;;;;;0.0;30.788998;0.0;;;;85.008804;;;
2025-04-10 22:49:19;2025-04-11 07:30:35;98%;31276;23248;625;89%;false;0;0;0.6906254;0;;;;;0.0;32.11052;0.0;;;;46.71148;;;
2025-04-11 22:58:30;2025-04-12 07:11:56;81%;29605;21809;592;93%;false;0;0;0.8512076;0;;;;;0.0;31.162321;0.0;;;;62.178387;;;
2025-04-12 22:56:07;2025-04-13 08:00:09;86%;32641;29159;652;93%;false;0;0;0.5514537;0;;;;;0.0;30.983116;0.0;;;;66.67105;;;
2025-04-13 22:47:51;2025-04-14 08:17:39;83%;34187;29856;683;95%;false;0;0;0.73712236;0;;;;;0.0;31.273281;0.0;;;;70.55527;;;
2025-04-14 23:32:54;2025-04-15 08:29:18;86%;32183;28965;643;94%;false;0;0;0.8948824;0;;;;;0.0;31.083302;0.0;;;;67.54309;;;
2025-04-15 22:51:22;2025-04-16 07:53:11;73%;32508;27198;650;93%;false;0;0;0.55370986;0;;;;;0.0;30.717354;0.0;;;;83.619286;;;
2025-04-17 23:03:04;2025-04-18 07:38:10;86%;30906;23694;618;93%;false;0;0;1.1648223;0;17 ;Claros;;;0.0;31.493656;0.0;;;;66.08985;;;
2025-04-18 23:17:45;2025-04-19 07:30:17;44%;29551;24527;591;97%;false;0;0;0.60911644;0;;;;;0.0;23.58297;0.0;;;;116.313034;;;
2025-04-19 23:03:16;2025-04-20 07:26:06;60%;30169;22928;603;97%;false;0;0;0.9546223;0;;;;;0.0;23.572338;0.0;;;;115.035614;;;
2025-04-20 21:33:11;2025-04-21 08:09:35;39%;38183;32583;763;92%;false;0;0;1.5085247;0;17 ;Nuboso;101.9;Arrecife;0.0;23.875359;0.0;;;;191.20377;;;
2025-04-21 22:48:52;2025-04-22 07:44:46;87%;32154;27223;643;88%;false;0;0;1.4554955;0;17 ;Claros;101.78;;0.0;23.583984;0.0;;;;92.27289;;;
2025-04-22 23:29:34;2025-04-23 07:30:19;73%;28845;22980;576;87%;false;0;0;1.6224649;0;;;;;0.0;23.66577;0.0;;;;113.74481;;;
2025-04-23 23:07:05;2025-04-24 06:59:47;76%;28362;23824;567;90%;false;0;0;0.2538608;0;;;;;0.0;23.62766;0.0;;;;99.90254;;;
2025-04-25 00:04:24;2025-04-25 07:17:46;70%;26001;20974;520;92%;false;0;0;0.69228107;0;;;;;0.0;23.664013;0.0;;;;96.930084;;;
2025-04-25 22:33:27;2025-04-26 07:28:27;77%;32100;26215;642;89%;false;0;0;1.5700934;0;;;;;0.0;23.62003;0.0;;;;129.32045;;;
2025-04-29 23:22:41;2025-04-30 07:24:22;68%;28901;23988;578;—;false;0;0;1.7438843;0;;;;;0.0;23.632587;0.0;;;;134.32541;;;
2025-05-01 22:54:57;2025-05-02 07:41:44;93%;31606;27497;632;94%;false;0;0;1.8224387;0;;;;Arrecife;0.0;23.708927;0.0;;;;77.94159;;;
2025-05-02 23:35:04;2025-05-03 08:05:00;84%;30595;24782;611;92%;false;0;0;0.5883314;0;16 ;Claros;101.96;Arrecife;0.0;23.591236;0.0;;;;96.50727;;;
2025-05-03 22:55:38;2025-05-04 07:23:08;86%;30450;25273;609;90%;false;0;0;1.5369458;0;;;;;0.0;23.77819;0.0;;;;88.19367;;;
2025-05-05 23:48:46;2025-05-06 07:32:25;65%;27819;23739;556;90%;false;0;0;2.588159;0;17 ;Nuboso;;;0.0;23.699228;0.0;;;;136.23535;;;
2025-05-07 23:41:58;2025-05-08 07:29:52;76%;28073;22739;561;99%;false;0;0;1.7953193;0;;;;;0.0;23.705307;0.0;;;;102.67845;;;
2025-05-08 23:05:07;2025-05-09 07:29:16;86%;30249;27728;604;97%;false;0;0;2.1422195;0;16 ;Claros;101.28;;0.0;23.653189;0.0;;;;91.54428;;;
2025-05-09 23:18:45;2025-05-10 07:39:47;80%;30061;26754;601;96%;false;0;0;2.5148864;0;;;;;0.0;23.617697;0.0;;;;108.212425;;;
2025-05-11 23:19:07;2025-05-12 07:31:09;71%;29522;25881;590;98%;false;0;0;2.804688;0;17 ;Soleado;101.659996;;0.0;23.665352;0.0;;;;134.39534;;;
